AAIIIIIIIIIIIII,"See Notepad"
ADENPLANETARIUM,"Mideast mecca for stargazers?"
ADHESIVEBANDAGE,"Boo-boo protector"
ADIEUOAHUISLAND,"Fond farewell to Honolulu and environs"
ADIFFERENTWORLD,"""The Cosby Show"" spinoff"
ADIFFERENTWORLD,"Show about Mars?"
ADIGITALCLOCKAT,"Part 3 of instructions"
ADIPLOMATISAMAN,"Start of a quip"
ADISSERCTROILUS,"UNRELIABLE RELATIONSHIP"
ADJUSTABLECRATE,"Flexible shipping container?"
ADJUSTABLEPITCH,"Type of propeller"
ADJUSTTHETICKET,"Fix a citation?"
ADLAIESTEVENSON,"1952 and 1956 loser"
ADLAIESTEVENSON,"He said ""In America, anybody can be president; that's one of the risks you take"""
ADLAIESTEVENSON,"JFK's UN ambassador"
ADLAIESTEVENSON,"Loser in '52 and '56"
ADLAIESTEVENSON,"V.P. whose grandson ran for president"
ADLAIESTEVENSON,"Vice President under Grover Cleveland"
ADLAIESTEVENSON,"Who said ""A hungry man is not a free man"""
ADMIRALCRICHTON,"J.M. Barrie play, with ""The"""
ADMIRALWASALADY,"Edmond O'Brien comedy of 1950, with ""The"""
ADMISSIONCHARGE,"Cost of a ticket"
ADMISSIONTOBAIL,"Order sought by an accused before trial"
ADOFJOHNANDYOKO,"30-second Lennon/Ono TV spot?"
ADOFJOHNANDYOKO,"Bed-In promo?"
ADOGCATCHERSAID,"More of quip"
ADOGINTHEMANGER,"Obstructive sort"
ADOGSBESTFRIEND,"End of the quotation"
ADOLESCENTGUARD,"Teen-aged lineman?"
ADOLLARSAVEDISA,"Start of Evan Esar quip"
ADOPTINGMINUTES,"Organization's curious deduction?"
ADOPTIVEPARENTS,"Brangelina, e.g."
ADOUBTINGTHOMAS,"What a Missourian might be"
ADRIENNEBARBEAU,"Star of HBO's canceled ""Carnivale"""
ADRIFTONTHENILE,"1966 Naguib Mahfouz novella"
ADRILLSERGEANTS,"Quip: Part 2"
ADRINKWITHAKICK,"Punch that packs some punch"
ADROPINTHEOCEAN,"Very small amount"
ADULTFILMRATING,"[See diagram]"
ADVANCEDFORMULA,"Ad come-on"
ADVANCEDFORMULA,"Ad puff"
ADVANCEDFORMULA,"Multivitamin claim, perhaps"
ADVANCEPLANNING,"Strategizing, redundantly"
ADVANTAGEPLAYER,"Poker thief or cheat*"
ADVENTUREISLAND,"1947 Rory Calhoun action film"
ADVENTUREISLAND,"Popular Florida amusement park"
ADVENTUREWRITER,"London"
ADVICECOLUMNIST,"End of the question"
ADVICEPRESIDENT,"Consulting firm's chief?"
AERATEPIPETAREA,"Palindromic plan for freshening part of a lab"
AEROBICEXERCISE,"Fitness staple"
AEROBICEXERCISE,"Gym class"
AEROBICEXERCISE,"It can take your breath away"
AEROBICEXERCISE,"It does a body good"
AEROBICEXERCISE,"It'll do your heart good"
AEROBICEXERCISE,"Running or stepping, e.g."
AEROBICEXERCISE,"Tae Bo, for one"
AEROBICEXERCISE,"Type of fitness training"
AEROBICEXERCISE,"Using a treadmill, e.g."
AEROBICEXERCISE,"Workout activity"
AEROSMITHSONIAN,"Rock-'n'-roll museum?"
AESOPFABLELOSER,"HARE"
AFACEINTHECROWD,"1957 Elia Kazan film"
AFACEINTHECROWD,"Andy Griffith film"
AFACEINTHECROWD,"Andy Griffith film (1957)"
AFACEINTHECROWD,"Andy Griffith's film debut"
AFACEINTHECROWD,"Lee Remick's movie debut"
AFACEINTHEGROUT,"Unremarkable-one who gets plastered?"
AFARETOREMEMBER,"""Taxi Driver"" tagline?"
AFAREWELLTOALMS,"Biography of a onetime beggar?"
AFAREWELLTOALMS,"Hemingway's tribute to the poor?"
AFAREWELLTOALMS,"No more begging?"
AFAREWELLTOARMS,"""Ta ta"" Hemingway novel"
AFAREWELLTOARMS,"""The world breaks everyone..."""
AFAREWELLTOARMS,"1929 novel"
AFAREWELLTOARMS,"1929 novel, and this puzzle's title"
AFAREWELLTOARMS,"1932 Gary Cooper classic"
AFAREWELLTOARMS,"1932 Gary Cooper film"
AFAREWELLTOARMS,"Hemingway book of 1929"
AFAREWELLTOARMS,"Hemingway classic"
AFAREWELLTOARMS,"Hemingway novel"
AFAREWELLTOARMS,"Hemingway novel of 1929"
AFAREWELLTOARMS,"Hemingway's wartime love story"
AFAREWELLTOARMS,"Venus' lament?"
AFAREWELLTOARMS,"War novel that became a Gary Cooper film"
AFAREWELLTOARMS,"What were Venus de Milo's last words, Mr. Hemingway?"
AFAREWELLTOMARS,"1929 novel about aliens leaving home?"
AFAREWELLTOMARS,"Hemingway's only sci-fi novel?"
AFAREWELLTOMARS,"Hemingway's space junket story?"
AFAREWELLTOMARS,"NASA mission conclusion?"
AFAREWELLTOMARS,"Roman vale to the warrior god?"
AFAREWELLTORAMS,"""Football Team Leaves L.A.""? [Ernest Hemingway]"
AFAREWELLTORAMS,"Book about a retiring shepherd?"
AFAREWELLTORAMS,"Film about Los Angeles losing its NFL team?"
AFATFREEFANATIC,"JACK Sprat"
AFFAIRSOFTHEHOT,"Sexy trysts"
AFFIRMEDNEEDLES,"1978 & 1956 WINNERS"
AFGHANISTANGETZ,"Kabul jazz artist?"
AFGHANPRESIDENT,"Hamid Karzai, starting in 2004"
AFIGHTINGCHANCE,"What every honest competitor deserves"
AFINEHOWDOYOUDO,"""Ain't that ___!"""
AFINEHOWDOYOUDO,"""Well, ain't that ___!"""
AFINEHOWDOYOUDO,"Words after ""Well, ain't that"""
AFINGERINTHEPIE,"Have ___ (meddle)"
AFINGERINTHEPIE,"Have ___ (participate)"
AFISHOUTOFWATER,"Crocodile Dundee in Manhattan, say"
AFISHOUTOFWATER,"Misfit"
AFISHOUTOFWATER,"Misfit, in a phrase"
AFISHOUTOFWATER,"Misfit, proverbially"
AFISHOUTOFWATER,"Someone in unfamiliar surroundings, figuratively"
AFISHWITHNOEYES,"Riddle, part 2"
AFLYINGSAUCERIS,"Definition of a UFO? (Part 1)"
AFLYINGSAUCERIS,"Start of a quip"
AFRAIDOFTHEDARK,"Achluophobic"
AFRAIDOFTHEDARK,"Like someone sleeping with a light on"
AFRAIDOFTHEDARK,"Like the one sleeping with a light on"
AFRAIDOFTHEDARK,"Nervous at night, perhaps"
AFRAIDOFTHEDARK,"Nyctophobic"
AFRAIDOFTHEDARK,"Suffering from nyctophobia"
AFRAIDOFTHEDARK,"Uneasy about a long shot?"
AFRAIDOFTHEDIRK,"Frightened by a long dagger?"
AFRAIDOFTHEDOCK,"Like a phobic longshoreman?"
AFRAIDOFTHEDOCK,"Scared to go fishing off a pier?"
AFRAMEEMAILDDAY,"Ski lodge, online letters, 6/6/44"
AFRICAINMYBLOOD,"Collection of Jane Goodall's letters"
AFRICANAMERICAN,"*Like Oprah Winfrey and Michael Jordan"
AFRICANAMERICAN,"1997 Will Smith/Tommy Lee Jones flick"
AFRICANAMERICAN,"Term popularized by Jesse Jackson"
AFRICANANTELOPE,"What's GNU?"
AFRICANELEPHANT,"Ivory source"
AFRICANELEPHANT,"Largest land animal"
AFRICANGOLFSTAR,"Clue #2"
AFRICANRELIGION,"Voodoo"
AFRICANREPUBLIC,"Chad"
AFRICANSWALLOWS,"""Monty Python"" birds"
AFRIKABAMBAATAA,"Godfather of hip hop"
AFRIKABAMBAATAA,"Grandmaster DJ responsible for popularizing breakdancing"
AFRIKABAMBAATAA,"Hip hop pioneer born Kevin Donovan"
AFRIKABAMBAATAA,"Hip hop-pioneering DJ"
AFRIKABAMBAATAA,"Hip-hop forefather"
AFRUSTRATEDMATH,"Start of a quip"
AFTERAPOLICEMAN,"Start of a riddle"
AFTERBEINGASKED,"Exchange between NBA forward Antoine Walker and a sports reporter, PART 1"
AFTERDINNERMINT,"Check accompanier, perhaps"
AFTERDINNERMINT,"Complimentary item at restaurants"
AFTERDINNERMINT,"Complimentary restaurant item"
AFTERDINNERMINT,"Sweet following eating"
AFTERDINNERMINX,"Well-fed flirt?"
AFTERMISSINGTHE,"Start of a quip"
AFTERNOONDELITE,"1976 #1 hit, for dieters?"
AFTERNOONNAPKIN,"Part of a tea party setting?"
AFTERNOONOFAFAN,"Games, games and more games?"
AFTERNOONSOCIAL,"Tea"
AFTERNOONSOCIAL,"Tea, e.g."
AFTERREFLECTION,"When things may become clearer"
AFTERRUBBERSOUL,"CONCLUSION #3 (how?)"
AFTERSHAVETONIC,"Soother for men"
AFTERTHEBREWERS,"Start of a quip"
AFTERTHESEWORDS,"Stay tuned, Part 3"
AFTERTWODAYSINA,"Start of a quip requiring medical attention"
AGAINSTALLFLAGS,"Flynn-O'Hara movie: 1952"
AGAINSTTHECLOCK,"Challenging way to race"
AGAINSTTHECLOCK,"Under time pressure"
AGAINSTTHECLOCK,"With a deadline"
AGAINSTTHEGRAIN,"Contrary to one's temperament"
AGAINSTTHEGRAIN,"Displeasing"
AGAINSTTHEGRAIN,"Fighting convention"
AGAINSTTHEGRAIN,"Irritating"
AGAINSTTHEGRAIN,"Out of character"
AGAINSTTHEGRAIN,"Possible title for this puzzle"
AGAINSTTHEGRAIN,"Rebelliously, perhaps (and a hint to this puzzle's four theme answers)"
AGAINSTTHEGRAIN,"So as to annoy"
AGAINSTTHEROPES,"In a tight fix"
AGAINSTTHERULES,"Not allowed"
AGEBEFOREBEAUTY,"""You first,"" facetiously"
AGEBEFOREBEAUTY,"Door holder's quip"
AGEBEFOREBEAUTY,"EPOCH VENUS"
AGEBEFOREBEAUTY,"Quip at an entrance"
AGEDISTRIBUTION,"One concern of Census Canada"
AGEDISTRIBUTION,"Statistic for a statistician"
AGENTSOFFORTUNE,"Blue Öyster Cult album that featured ""(Don't Fear) The Reaper"""
AGENTSOFFORTUNE,"Blue Öyster Cult album with ""(Don't Fear) The Reaper)"""
AGENTTHROWWORLD,"Three free things"
AGEOFRETIREMENT,"Quitting time?"
AGEOFRETIREMENT,"Sixty-five, for many"
AGGRAVATEDASALT,"Was pesky on deck?"
AGHOSTLYGALLEON,"Alfred Noyes' famous description of the moon"
AGHOSTOFACHANCE,"Slim odds"
AGNATATTHEOPERA,"Pagliacci's pest?"
AGNEWWORLDORDER,"Global society run by Nixon's first veep?"
AGOODFOUNDATION,"Love, in a Ralph Murphy song"
AGOODIMPRESSION,"*Make it"
AGOODIMPRESSION,"Make it"
AGOODPOEMISMADE,"Start of a quotation by Miller Williams"
AGOODTHINGCANBE,"Part 2 of witticism"
AGOODTHINGTOSAY,"End of the quote"
AGOODTIMETOKEEP,"Quip, part 2"
AGRAVEYARDSHIFT,"Answer to the riddle"
AGREATFALLANDIT,"Part two of a twisted nursery rhyme"
AGREATWAYTOHAVE,"Middle of the quip"
AGREATWIZARDWHY,"Question: Part 2"
AGREETODISAGREE,"Allow for differing opinions"
AGREETODISAGREE,"Call a truce but remain at odds"
AGREETODISAGREE,"Continue cordially despite differences"
AGREETODISAGREE,"Differ amicably"
AGREETODISAGREE,"Leave a dispute unsettled"
AGREETODISAGREE,"Leave an argument unresolved, say"
AGREETODISAGREE,"Leave things unresolved, perhaps"
AGREETODISAGREE,"Not completely settle an argument [New York]"
AGREETODISAGREE,"One way to end an argument"
AGREETODISAGREE,"Realize there will be no resolution"
AGREETODISAGREE,"Simply stop arguing"
AGREEUPTOAPOINT,"Partly concur"
AGROOMOFONESOWN,"Reasonable marriage expectation?"
AHARDDAISYNIGHT,"Fab Four flick?"
AHARDNUTTOCRACK,"Something baffling"
AHEADFORFIGURES,"Accountant's attribute"
AHEADOFSCHEDULE,"Early"
AHEADOFSCHEDULE,"How some projects are completed"
AHEADOFTHECURVE,"Forward-thinking"
AHEADOFTHECURVE,"Like a chunky person's belt buckle?"
AHEADOFTHETHROE,"When psychics take aspirin?"
AHEADOFTHETIMES,"Before hand"
AHEADUNTILHEGOT,"Part 3 of quip"
AHOOSIERHOLIDAY,"1916 Theodore Dreiser book"
AHOPEFULLAUNDRY,"Quip start"
AHOTWICKSKIPPER,"Nimble JACK"
AHUMANBEINGISAN,"Second part of the quote"
AHUNDREDDOLLARS,"Value of the brown-coloured bill"
AHUNDREDGRANDAM,"Reply to ""How many Senators are there, child?"""
AIDEDANDABETTED,"Helped in a crime"
AIDEDANDABETTED,"Watched out for, say"
AIDESFORDUELERS,"Seconds"
AINTGONNAHAPPEN,"""Forget it!"""
AINTGONNAHAPPEN,"""No way"""
AINTGONNAHAPPEN,"""There's no way"""
AINTGONNAHAPPEN,"""Uh-uh!"""
AIRAMERICARADIO,"""The Randi Rhodes Show"" network"
AIRAMERICARADIO,"""The Ron Reagan Show"" network"
AIRAMERICARADIO,"Ron Reagan's employer, once"
AIRCANADACENTRE,"Home to the Toronto Maple Leafs and the Toronto Raptors"
AIRCONDITIONERS,"Coolers"
AIRCONDITIONERS,"Runners often seen in windows"
AIRCONDITIONERS,"Summer runners"
AIRCONDITIONERS,"They may run in the summer"
AIRCONDITIONING,"Auto option"
AIRCONDITIONING,"Cold comfort"
AIRCONDITIONING,"It can make nerds cool"
AIRCONDITIONING,"State of the temperature?"
AIRCONDITIONING,"Summer cooler"
AIRCOOLEDENGINE,"Feature of the original VW Bug"
AIRCRAFTCARRIER,"""Bird farm"" of the Navy"
AIRCRAFTCARRIER,"Armada unit"
AIRCRAFTCARRIER,"Catapult setting"
AIRCRAFTCARRIER,"Floating runway"
AIRCRAFTCARRIER,"Insurer of Boeing?"
AIRCRAFTCARRIER,"It's called a flattop in navy slang"
AIRCRAFTCARRIER,"Part of the game"
AIRCRAFTCARRIER,"Type of ship not in port: 12/7/41"
AIREDALETERRIER,"Black-and-tan dog"
AIREDALETERRIER,"Black-and-tan purebred"
AIREDALETERRIER,"Breed once used as police dogs in England"
AIREDALETERRIER,"Dog used as a wartime dispatch bearer"
AIREDALETERRIER,"Dog used in law enforcement"
AIREDALETERRIER,"Harding's Laddie Boy, for one"
AIREDALETERRIER,"It's black and tan"
AIREDALETERRIER,"Large dog breed"
AIREDALETERRIER,"Largest of its breed"
AIREDALETERRIER,"Likely descendant of the otterhound"
AIREDALETERRIER,"Otterhound's descendant"
AIREDALETERRIER,"Yorkshire dog"
AIREDALETERRIER,"Yorkshire pooch"
AIRFORCERESERVE,"Its motto is ""Above and beyond"""
AIRFORCERESERVE,"Military part-timers"
AIRFORCERESERVE,"Standby fliers?"
AIRMASSBOUNDARY,"FRONT"
AIRONTHEGSTRING,"Bach favorite"
AIRPLANECAPTAIN,"Skipper"
AIRPLANESEATING,"Windows commonly comprise about one-third of it"
AIRPORTSECURITY,"Cause of many traveling delays"
AIRPORTSECURITY,"THEY HAVE CHECKS"
