AAAADDRESS,"Motorist's org. location"
ACCIDENTAL,"Unplanned"
ACCLAIMING,"Welcoming with shouts of joy"
ACCOMODATE,"*Oblige"
ACCOMPLICE,"Helper in wrongdoing"
ACCOMPLICE,"Henchman"
ACCOMPLISH,"Twisted coach limps for effect (10)"
ACCORDANCE,"Conformity"
ACCORDIONS,"Portable keyboard instruments"
ACCOUNTANT,"Person concerned with figures"
ACCOUNTING,"""FIRST-in, FIRST-out"" discipline"
ACCOWLINGS,"Very cool 1970's N.F.L.er?"
ACCRAGHANA,"African capital on the Gulf of Guinea"
ACCRAGHANA,"Kotoka International Airport setting"
ACCREDITED,"Like colleges that meet all official requirements of academic excellence"
ACCUMULATE,"Amass"
ACCURATELY,"RIGHT"
ACCURSEDLY,"In a hateful manner"
ACCUSINGOF,"Implicating in, as a crime"
ACCUSTOMED,"Assigned blame, framing cat as usual (10)"
ACCUSTOMED,"Habitual"
ACCUSTOMED,"Used (to)"
ACDCCOMICS,"People who do stand-up about an aging Australian rock band?"
ACEBANDAGE,"Injury treatment brand"
ACEBANDAGE,"It's a wrap"
ACEBANDAGE,"Joint coverage trademark?"
ACEBANDAGE,"Sore ankle wrapper"
ACEBANDAGE,"Strip in a locker room?"
ACEBANDAGE,"Support for a sprain"
ACEFREHLEY,"""I'm not ashamed of my association with Gene Simmons,"" admitted ___"
ACEFREHLEY,"He left KISS in 1982...and rejoined them in 1995"
ACEFREHLEY,"Longtime Kiss lead guitarist"
ACEFREHLEY,"Paul Stanley colleague"
ACEINVADER,"Attila, for one?"
ACELEBRITY,"Start of a comment by Fred Allen"
ACEOFCLUBS,"Black suit topper"
ACEOFCLUBS,"Golf pro?"
ACEOFCLUBS,"Tiger Woods?"
ACEPITCHER,"Premier starter"
ACERBICFAX,"Its cover sheet may read 'To: A Big Dumb Jerk, Re: You Know What'"
ACERBICWIT,"Biting humor"
ACERBICWIT,"Dorothy Parker quality"
ACESETTERS,"Crackerjack dogs?"
ACETICACID,"Vinegar, essentially"
ACETICACID,"Vinegar, largely"
ACETICACID,"Wood distillation product"
ACEVENTURA,"1994 Jim Carrey role"
ACEVENTURA,"1994 film role for Jim Carrey"
ACEVENTURA,"Film 'pet detective'"
ACEVENTURA,"Jim Carrey role"
ACEVENTURA,"Jim Carrey title role"
ACEVENTURA,"Jim Carrey's pet detective role"
ACEVENTURA,"Pet detective of film"
ACEVENTURA,"Pet detective of films"
ACEVENTURA,"Pet detective played by Jim Carrey"
ACEVENTURA,"Role for Jim Carrey"
ACEVENTURA,"Seeker of a sacred bat named Shikaka"
ACEVENTURA,"Snowflake seeker of film"
ACEYDEUCEY,"Backgammon variety"
ACEYDEUCEY,"Non-poker game, sometimes called Red Dog, usually played in home games, but also found rarely in casinos, in which players bet that a third card in succession will fall in rank between the first two, which are dealt face up before the bet*"
ACEYDEUCEY,"Red Dog*"
ACHIEVABLE,"Within reach"
ACHILLESEL,"Transport for a Trojan War hero?"
ACHOOPRONE,"Sneezy"
ACIDESTHER,"Bitingly sarcastic Williams?"
ACIDNUMBER,"Dealer's inventory tag?"
ACIDREFLUX,"Heartburn"
ACIDROCKER,"Jerry Garcia or Jim Morrison"
ACIDSPRAIN,"Drug-induced muscle injury?"
ACIDTONGUE,"Biting critic's possession"
ACIDTONGUE,"Shrew's property"
ACKNOWLEGE,"Owned up to"
ACOALMINER,"""I'm a doctor, not ___"" (""The Empath"")"
ACOUSTICAL,"Serving to aid hearing."
ACQUIESCES,"Caves"
ACRIDDRAIN,"Bitter tub feature?"
ACROBATICS,"Gymnast's display"
ACROBATICS,"Gymnastic moves"
ACROBATICS,"Startling ability"
ACROCODILE,"Part 2 of quip"
ACROPHOBIA,"Flagpole-sitter's woe"
ACROPHOBIA,"High anxiety?"
ACROPHOBIA,"Impediment to getting high?"
ACROPHOBIA,"It'll keep your feet on the ground"
ACROPHOBIA,"Second-story man's undoing?"
ACROPHOBIA,"Source of high anxiety?"
ACROPHOBIA,"Window washer's problem?"
ACROPHOBIA,"Woe for a high-wire walker"
ACROPHOBIA,"Woe on an observation deck"
ACROSSTOWN,"An angry place to live?"
ACROSSTOWN,"Not in the neighborhood, say"
ACROSSTOWN,"Opposite of nearby"
ACTINIFORM,"Shaped like a sea anemone"
ACTIONABLE,"Worth trying?"
ACTIONDOLL,"G.I. Joe, for one"
ACTIONFILM,"""Die hard,"" for one"
ACTIONFILM,"Flick with chase scenes, e.g."
ACTIONHERO,"Indiana Jones or G.I. Joe"
ACTIONHERO,"Indiana Jones or Rambo"
ACTIONHERO,"Indiana Jones, for one"
ACTIONHERO,"Jason Bourne, e.g."
ACTIONHERO,"Rambo or Indiana Jones"
ACTIONHERO,"Rambo, e.g."
ACTIONHERO,"Sly role, as a rule"
ACTIONITEM,"Assignment to be executed"
ACTIONITEM,"Important board matter"
ACTIONITEM,"Task assigned at a meeting"
ACTIONLINE,"Direct means of communication to a news outlet"
ACTIONLINE,"Telephone access to a news program, e.g."
ACTIONPACT,"Agreement made in the heat of battle?"
ACTIONPLAN,"Attack strategy"
ACTIVATION,"Being called up, military-wise"
ACTIVATION,"Removal from mothballs"
ACTIVATORS,"Chemical catalysts"
ACTIVEDUTY,"Current soldier's status"
ACTIVEDUTY,"Full-time military service"
ACTIVEDUTY,"People who serve might be on it"
ACTIVEDUTY,"Reserves are not on it"
ACTIVEDUTY,"Status of full-time service"
ACTOFGODOT,"Waiting?"
ACTOFLYING,"Prevarication"
ACTOFMERCY,"Commuting a sentence, e.g."
ACTONESAGE,"Be mature"
ACTONESAGE,"Behave appropriately"
ACTONESAGE,"Grow up, so to speak"
ACTONESAGE,"Not be childish"
ACTONESAGE,"Not be juvenile"
ACTORASTOR,"Mary in ""The Maltese Falcon"""
ACTORFINCH,"Peter, but not the saint"
ACTORSFACE,"It gets made up"
ACTORSTALK,"End of the question"
ACTSOFWARD,"Memoir title for Sela?"
ACTTHEPART,"Behave suitably"
ACTTHEPART,"Do a performance"
ACTUALFACT,"True statement"
ACTUALLYES,"Nonsynthetic caustic solutions?"
ACTUALSIZE,"""It really is this big"""
ACTUALSIZE,"Not blown up"
ACTYOURAGE,"""Grow up!"""
ACTYOURAGE,"""Stop behaving like a child!"""
ACTYOURAGE,"Another momism"
ACTYOURAGE,"Reprimand to a baby"
ACUBANSCAR,"What Fidel had after his operation?"
ACUTEANGLE,"A charming way to look at things?"
ACUTEANGLE,"A in math"
ACUTEANGLE,"It measures less than 90°"
ACUTEANGLE,"It's less than right"
ACUTEANGLE,"It's more than 90 degrees"
ADABOUTYOU,"PR person's show?"
ADABSURDUM,"Well beyond reason"
ADAGENCIES,"Professional pitchers"
ADAMANDEVE,"""Paradise Lost"" figures"
ADAMANDEVE,"Apple consumers?"
ADAMANDEVE,"Characters in a Biblical tale"
ADAMANDEVE,"Couple on a raft in a diner"
ADAMANDEVE,"Eden pair"
ADAMANDEVE,"Fall duo"
ADAMANDEVE,"First family"
ADAMANDEVE,"First names"
ADAMANDEVE,"Garden transplants?"
ADAMANDEVE,"Genesis duo"
ADAMANDEVE,"Opening pair?"
ADAMANDEVE,"Pair ""on a raft,"" in diner lingo"
ADAMANDEVE,"Race starters?"
ADAMANDEVE,"Two poached eggs, in diner slang"
ADAMANDEVE,"[Hint] Apple? Went ahead!"
ADAMANTIUM,"Fictional substance in ""The X-Men"""
ADAMDURITZ,"Counting Crows singer running the gamut?"
ADAMGRAVES,"Biblical figure + actor Peter = N.Y. Rangers All-Star"
ADAMSAPPLE,"Abigail McIntosh"
ADAMSAPPLE,"Eden body part?"
ADAMSAPPLE,"It could cause a pain in the neck"
ADAMSAPPLE,"It goes up and down at dinner"
ADAMSAPPLE,"It may rise and fall during a speech"
ADAMSAPPLE,"It might be pronounced in the throat"
ADAMSAPPLE,"It might bob up in conversation"
ADAMSAPPLE,"It's formed by the larynx"
ADAMSAPPLE,"It's more prominent in men than in women"
ADAMSAPPLE,"Laryngeal prominence"
ADAMSAPPLE,"Larynx indicator"
ADAMSAPPLE,"Lump in one's throat"
ADAMSAPPLE,"Lump in the throat"
ADAMSAPPLE,"Lump in the throat?"
ADAMSAPPLE,"Male body part"
ADAMSAPPLE,"President's snack?"
ADAMSAPPLE,"Presidential computer?"
ADAMSAPPLE,"Prominent male feature"
ADAMSAPPLE,"Throat part"
ADAMSAPPLE,"Thyroid cartilage projection"
ADAMSMCRIB,"Sandwich eaten in Eden?"
ADAMSTYLER,"One who designs barriers?"
ADAPTATION,"Alteration in an organism's function by which it becomes better fitted for survival"
ADAPTATION,"Conformity"
ADAPTATION,"Darwinian change"
ADAPTATION,"Evolutionary process"
ADAPTATION,"Film based on a novel, e.g."
ADAYOFREST,"Everybody needs this"
ADAYPARADE,"June expression of patriotism in Harvard Yard?"
ADCAMPAIGN,"Big planning on Madison Avenue"
ADCAMPAIGN,"PR blitz"
ADCAMPAIGN,"Series of battles within the last two millennia?"
ADDEDAROOM,"Remodeled, in a way"
ADDEDAROOM,"Remodeled, perhaps"
ADDEDBONUS,"Extra perk"
ADDEDSUGAR,"Sweetening stuff not naturally present in foods that should be consumed only in moderation: 2 wds."
ADDICTIONS,"Hard things to break"
ADDIOROCKY,"Farewell, Stallone?"
ADDISABABA,"A capital city of Africa."
ADDISABABA,"African capital"
ADDISABABA,"African capital whose name means ""new flower"""
ADDISABABA,"Amharic for ""new flower"""
ADDISABABA,"Capital at the foot of Mount Entoto"
ADDISABABA,"Capital city in Africa"
ADDISABABA,"Capital of Ethiopia"
ADDISABABA,"City at the foot of Mount Entoto"
ADDISABABA,"City known as the political capital of Africa"
ADDISABABA,"East African capital"
ADDISABABA,"Ethiopia's capital"
ADDISABABA,"Ethiopian National Library city"
ADDISABABA,"Ethiopian capital"
ADDISABABA,"Where the African Union is headquartered"
ADDITIONAL,"For an extra charge"
ADDITIONAL,"Not on the floor model, say"
ADDITIONAL,"Supplementary"
ADDLEADDER,"Mess up a mathematician by shouting random numbers?"
ADDLEPATED,"Birdbrained"
ADDLEPATED,"Foolish"
ADDRESSEES,"Getters of letters"
ADDRESSEES,"They deserve what's coming to them"
ADDRESSEES,"They get what's coming to them"
ADDRESSERS,"Mail-order employees"
ADDRESSING,"Speaking to"
ADECENTTAN,"Beachgoer's goal?"
ADEEDOODAH,"ZIP ___"
ADENINADEN,"Yemeni thieves' hangout?"
ADEQUATELY,"Done well enough to earn a C, maybe"
ADIEUADIEU,"""The Sound of Music"" farewell"
ADIEUADIEU,"""The Sound of Music"" song ""to you and you and you"""
ADIEUADIEU,"Part of ""The Sound of Music"" farewell song"
ADIEUADIEU,"Words of farewell from Childe Harold"
ADIEUHENRI,"Be short with Toulouse-Lautrec?"
ADIOSAMIGO,"""Later!"""
ADIOSAMIGO,"""Later"""
ADIOSAMIGO,"""See ya!"""
ADIOSAMIGO,"""Ta-ta!"""
ADIOSAMIGO,"#2 Jim Reeves country hit of 1962"
ADIOSAMIGO,"Acapulco parting"
ADIOSAMIGO,"Friendly farewell"
ADIOSAMIGO,"Friendly send-off"
ADIOSAMIGO,"Parting phrase"
ADIOSAMIGO,"Parting words"
ADIOSAMIGO,"Señor's sendoff"
ADIOSAMIGO,"Ta-ta, to Tito"
ADIOSAMIGO,"Western ""so long"""
ADIOSAMIGO,"Words to leave by"
ADIRONDACK,"Amtrak train from New York to Montreal"
ADIRONDACK,"New York range or chair"
ADIRONDACK,"New York's ___ Mountains"
ADIRONDACK,"___ Mountains in New York"
ADIRTDEVIL,"Perfect gift for Dennis the Menace's mom?"
ADJACENTTO,"Neighboring"
ADJUDICATE,"Act as a referee"
ADJUDICATE,"Hear in a courtly way"
ADJUDICATE,"Referee at a court"
ADJUSTABLE,"Changeable"
ADJUSTMENT,"Clio winners accepting, barely, time change (10)"
ADMEASURED,"Portioned out"
ADMINISTER,"Give, as a shot"
ADMINISTER,"Pastor who pitches?"
ADMINISTER,"Run"
ADMIRATION,"Esteem"
ADMIRATION,"Exceptionally adroit man, I may get acclaim (10)"
ADMIRATION,"Feeling of approbation"
ADMISSIONS,"Confessions"
ADMISSIONS,"University concers"
ADMONISHED,"Chastised"
ADMONITORY,"Warning"
ADOBEABODE,"Home for a software company's employees?"
ADOBEFLATS,"Southwestern plains"
ADOLESCENT,"""Catcher in the Rye"" reader, often"
ADOLESCENT,"Minor"
ADOLESCENT,"Preadult"
ADOLESCENT,"Romeo or Juliet"
ADOLESCENT,"Stripling"
ADOLESCENT,"Teen"
ADOLESCENT,"Teenager"
ADOLESCENT,"What Bob is wearing that smells so good?"
ADOLESCENT,"Y*H"
ADOLESCENT,"Youth climbing with ultimately good cheer (10)"
ADOLESCENT,"Youth's welfare maintained by climb (10)"
ADOLESCENT,"Youthful"
ADOLLSHOSE,"Classic play about Barbie's stockings?"
ADOLPHEJOU,"PITTSBURGH-BORN ACTOR: 1890-1963"
ADOLPHESAX,"He had a whole family of musical instruments named after him"
ADOREADOOR,"Love something offered at home improvement stores?"
ADORNMENTS,"Decorations"
ADRENALINE,"""Fight or flight"" chemical"
ADRENALINE,"It can give you a rush"
ADRENALINE,"It may give you a rush"
ADRENALINE,"It's often in a rush"
ADRENALINE,"Source of some rushes"
ADRENALINE,"What you feel at jam climax"
ADRIANLYNE,"""Fatal Attraction"" director"
ADRIANMONK,"TV role for which Tony Shalhoub won two Emmys"
ADRIEDPLUM,"Question: Part 2"
ADSPECTRUM,"Full range of a commercial?"
ADTOTHEONE,"Classified seeking a soul mate?"
ADULATESBO,"Flatters Ms. Derek"
ADULTERANT,"Any substance that lessens purity"
ADULTERATE,"Contaminate"
ADULTERATE,"Debase by admixture"
ADULTERERS,"Ones fooling around"
ADULTEROUS,"Like Hester Prynne"
ADULTMOVIE,"""Devil in Miss Jones,"" for one"
ADULTSONLY,"Blue, say"
ADVANCEMAN,"Scout"
ADVANCEMEN,"Public appearance preparers"
ADVANCEMEN,"Public relations people"
ADVANCEPAY,"Early check, perhaps"
ADVANTAGES,"They may overcome the competition"
ADVENTURER,"Soldier of fortune"
ADVENTURES,"""And then..."" stories"
ADVENTURES,"Some legends"
ADVERTISED,"Called attention to"
ADVERTISER,"One who may make you see spots"
ADVICEGURU,"Dr. Phil or Dr. Laura, e.g."
AECHOUSMAN,"Nuclear-powered poet?"
AERIALISTS,"Circus team"
AERIALISTS,"Daring circus performers"
AERIALISTS,"Daring swingers"
AERIALISTS,"Performers with dangerous acts"
AERIALMINE,"Naval weapon dropped by parachute"
AERIALTRAM,"Alpine transport"
AERIALVIEW,"Stand on rooftop clutter?"
AEROBATICS,"Aircraft stunts"
AEROBATICS,"Loops and rolls"
AEROBRAKES,"Decelerates, as with a space shuttle"
AERODROMES,"Airfields, to a Brit"
AERODROMES,"Landing fields, in London"
AEROMARINE,"Concerning above-ocean flying"
AEROMARINE,"Like floatplanes"
AEROMETERS,"Measurers of gas properties"
AERONATICS,"Flying study"
AERONAUTIC,"Of plane navigation"
AEROPLANES,"Tour transports, to Brits"
AEROSOLCAN,"Bomb"
AEROSOLCAN,"Sprayer in metal"
AESOPFABLE,"Classic moral tale"
AESTHETICS,"Appreciation of art and beauty"
AFEWINCHES,"Observation, part 3"
AFFILIATED,"Like some local stations, vis-à-vis a radio network"
AFFLICTION,"Coburn's 1998 Oscar-winning film"
AFFLICTTHE,"Self-assessment: Part 4"
AFFORDTOBE,"Quote, part 4"
AFICIONADO,"Buff"
AFICIONADO,"Devotee"
AFICIONADO,"Enthusiast"
AFICIONADO,"Enthusiastic admirer"
AFICIONADO,"Fan"
AFICIONADO,"Loanword that means 'amateur' in Spanish"
AFIELDGOAL,"An objective for Sally?"
AFIFTYTWOS,"Desert Storm planes that could fly from Logan to Baghdad?"
AFINEROMCE,"Song sung by Fred and Ginger in ""Swing Time"""
AFLATMINER,"Answer to the riddle"
AFLATMINOR,"Young frosh in financial straits?"
AFLATMYNAH,"Predictable ending of Little Bird Meets Godzilla?"
AFLYWENTBY,"Outfielder's error? (McClintock)"
AFRAIDSOPH,"Faint-hearted fraternity prospect?"
AFRICANFLU,"Viral malady, after continental drift?"
AFRICANOIL,"Schwarzenegger's energy solution?"
AFROCUBANS,"Some Havanans"
AFTERASORT,"Haphazardly"
AFTERASORT,"In some way"
AFTERASORT,"Not precisely"
AFTERASORT,"Roughly"
AFTERCABIN,"Naval architect's creation"
AFTERDMINT,"Dim Sum restaurant handout, possibly"
AFTERHOURS,"HOUSE"
AFTERHOURS,"Late"
AFTERHOURS,"Open late, perhaps"
AFTERHOURS,"Past 5:00 p.m., for many businesses"
AFTERHOURS,"Past legal closing time"
AFTERHOURS,"Subsequent to the normal business day"
AFTERIMAGE,"Flashbulb effect, e.g."
AFTERLIVES,"Postmortal existences"
AFTERMATHS,"Consequences"
AFTERMATHS,"Repercussions"
AFTERNOONS,"Crash Test Dummies ""___ & Coffeespoons"""
AFTERNOONS,"Nap times"
AFTERNOONT,"English ritual"
AFTERPARTY,"Opening-night celebration"
AFTERSHAVE,"How this answer is situated"
AFTERSHAVE,"Item in a man's medicine chest"
AFTERSHAVE,"Occasional stinger"
AFTERSHAVE,"What this is?"
AFTERSHOCK,"Earthquake follow-up"
AFTERSHOCK,"Like wave or treatment"
AFTERSHOCK,"Van Halen song that resonates?"
AFTERTASTE,"Bud or maker?"
AFTERTASTE,"Diet soda feature"
AFTERTASTE,"Finish that should be long and complex"
AFTERTASTE,"Finish, to winetasters"
AFTERTASTE,"It might be evaluated along with the nose"
AFTERTASTE,"Lingering sensation"
AFTERTASTE,"Remembrance of things past"
AFTERTASTE,"Side effect?"
AGAPANTHUS,"A, as in this African Lily"
AGAPANTHUS,"African lily"
AGAPESUITS,"Slack-jawed business execs?"
AGARPLATES,"Biology-lab supply"
AGEDISPUTE,"Reason for a ? after some birth dates"
AGEMANAGER,"Gerontologist?"
AGENDABOOK,"Planning aid"
AGENTAGENT,"Secretive figure?"
AGENTAGENT,"See notepad"
AGENTAGENT,"Sneaky spy"
AGENTORANG,"Ape in the FBI?"
AGESOFROCK,"The Who marathon?"
AGEYOUDONT,"Part 2 of first quote"
AGGIELIMIT,"Maximum enrollment at Texas A&M?"
AGGRAVATES,"Adds insult to injury"
AGGRAVATOR,"It's not making things better"
AGGRAVATOR,"Source of unrest"
AGGREGATED,"Brought together"
AGGREGATES,"Brings together"
AGGRESSIVE,"Like a winning tournament player*"
AGITATEDLY,"In a jittery way"
AGITATEDLY,"In a perturbed manner"
AGITATIONS,"Incitements"
AGLIOEOLIO,"Garlicky pasta sauce"
AGLIOEOLIO,"Pasta dressing of garlic and hot olive oil"
AGLIOEOLIO,"Simple trattoria dressing"
AGLIOEOLIO,"Trattoria topping"
AGLOWRIDER,"Beaming bus rider?"
AGNESAYRES,"Quiet lady of cinema"
AGNESDEMIE,"""Oklahoma!"" choreographer"
AGNESOFGOD,"1985 Meg Tilly/Jane Fonda film set in Quebec"
AGOODSCARE,"Start of Ed Howe quote"
AGOODSTORY,"End of the aphorism"
AGRAVATION,"What you might feel while solving this puzzle?"
AGREATDEAL,"Lots and lots"
AGREATDEAL,"Much"
AGREATDEAL,"Royal flush or buyer's pride"
AGREATMANY,"Start of a quip"
AGREEDUPON,"Stipulatory"
AGREEMENTS,"Legally binding arguments"
AGREEMENTS,"Pacts"
AGREESWITH,"Seconds"
AGRIPPASPA,"ROMAN STATEMAN'S FATHER?"
AGRONOMIST,"Dirt expert"
AGRONOMIST,"Expert in soil management"
AGRONOMIST,"Soil-management expert"
AGROUPTHAT,"Definition of ""committee,"" part 1"
AHALONEEDS,"Start of a droll observation"
AHAMOMENTS,"Instants of revelation, as for puzzle solvers"
AHAMOMENTS,"Occasions to cry ""Eureka!"""
AHEADDRESS,"Futuristic woman's chapeau?"
AHEADOFYOU,"Motto, part 3"
AHEADOFZED,"English river"
AHOLEINONE,"ACE"
AHURRICANE,"""You are like ___"" Neil Young"
AIAGSTRING,"Popular Bach piece"
AIDANDABET,"Help"
AIDANDABET,"Help a criminal"
AIDANQUINN,"""Songcatcher"" co-star"
AIDEDECAMP,"Confidential assistant"
AIDEDECAMP,"General's helper"
AIDEDECAMP,"General's staffer"
AIDEDECAMP,"Military assistant"
AIKENHEADS,"Hangover problems for Conrad?"
AILINGLIST,"Record of sick days?"
AIMINGHIGH,"Shooting for the stars"
AIMTOOHIGH,"Be overly ambitious"
AINTITTRUE,"1965 Top 40 hit for Andy Williams"
AINTNOJIVE,"""True dat!"""
AIRAMERICA,"""Morning Sedition"" was on it"
AIRAMERICA,"""The O'Franken Factor"" was on it"
AIRAMERICA,"1990 Mel Gibson action comedy"
AIRAMERICA,"Girl's name (reversed) + Girl's name = Radio network since 2004"
AIRAMERICA,"Mel Gibson movie"
AIRAMERICA,"Mel Gibson/Robert Downey Jr. movie of 1990"
AIRBRUSHER,"Photo retoucher"
AIRBRUSHES,"Retouches, in a way"
AIRCARRIER,"American, e.g."
AIRCARRIER,"American, for one"
AIRCARRIER,"Insurance company with atmosphere?"
AIRCAVALRY,"U.S. Army's helicopter assault division"
