AAAMILNE,"Children's author and roadside helper?"
ABASHING,"Disconcerting"
ABATABLE,"Subject to reduction"
ABATISES,"Barbed barricades"
ABATISES,"Tree barricades used in war"
ABATTERY,"Electron tube heater"
ABATTOIR,"Setting for Sinclair's ""The Jungle"""
ABATTOIR,"Slaughterhouse"
ABATTOIR,"Steer's last stop"
ABATTOIR,"Upton Sinclair subject"
ABBAEBAN,"""Diplomacy for the Next Century"" author"
ABBAEBAN,"""Israel in the World"" author"
ABBAEBAN,"""My People"" writer"
ABBAEBAN,"Author of ""My Country: The Story of Modern Israel"""
ABBAEBAN,"Israel's first U.N. representative"
ABBAEBAN,"Israel's first UN delegate"
ABBESSES,"Big sisters?"
ABBESSES,"Convent heads"
ABBESSES,"Convent superiors"
ABBESSES,"Superiors"
ABBESSES,"Virgin mothers, possibly"
ABCDRAMA,"4-in-a-row in network genre"
ABCRUNCH,"Six-pack enhancer?"
ABDICATE,"Emulate Edward VIII"
ABDICATE,"Emulate Edward Windsor"
ABDICATE,"Give up the throne"
ABDICATE,"Give up voluntarily"
ABDICATE,"Relinquish"
ABDICATE,"Relinquish one's power"
ABDICATE,"Renounce"
ABDICATE,"Renounce power"
ABDICATE,"Resign a la Edward VIII"
ABDICATE,"Step down"
ABDICATE,"Step down, in a way"
ABDICATE,"Walk away from, as responsibility"
ABDOMENS,"Assimilating body parts?"
ABDOMENS,"Breadbaskets, so to speak"
ABDOMENS,"Exercise targets"
ABDOMENS,"Guts"
ABDUCTED,"Like earthlings, sometimes, in sci-fi"
ABDUCTEE,"Kidnapped person"
ABDULLAH,"Fahd's successor in Saudi Arabia"
ABDULLAH,"First king of Jordan"
ABDULLAH,"King of Jordan, 1946-51"
ABDULLAH,"King of Saudi Arabia"
ABDULLAH,"Name meaning ""servant of God"""
ABDULLAH,"Royal name meaning ""God's servant"""
ABEBEAME,"Former Big Apple mayor"
ABEBEAME,"Former New York City mayor"
ABEBEAME,"Former mayor of New York City"
ABEBEAME,"New York City mayor after John Lindsay"
ABEBEAME,"New York City mayor who was born in London"
ABEDNEGO,"Biblical character who survived the Fiery Furnace"
ABEDNEGO,"Companion of Daniel and Meshach"
ABEDNEGO,"Fiery Furnace survivor"
ABEDNEGO,"One of a biblical three"
ABEDNEGO,"Peer of Shadrach"
ABEDNEGO,"Shadrach, Meshach, and ___"
ABERDEEN,"City of Scotland or Maryland"
ABERDEEN,"City on the North Sea"
ABERDEEN,"It's at the mouth of the Dee"
ABERDEEN,"Metropolis in Scotland"
ABERDEEN,"North Sea city"
ABERDEEN,"North Sea oil industry center"
ABERDEEN,"North Sea oil port"
ABERDEEN,"North Sea port"
ABERDEEN,"Scotland's ""Granite City"""
ABERDEEN,"Scottish North Sea city"
ABERDEEN,"Scottish seaport"
ABERDEEN,"South Dakota city"
ABERRANT,"Abnormal"
ABERRANT,"Atypical"
ABERRANT,"Deviant"
ABERRANT,"Deviating from the norm"
ABERRANT,"Deviating from the normal course"
ABERRANT,"McEntire (spelled backward) + Tirade = ?"
ABERRANT,"Not at all normal"
ABERRANT,"Not normal"
ABERRANT,"Odd"
ABERRANT,"Off-course"
ABERRANT,"Untrue to type"
ABERRANT,"Unusual"
ABERRATE,"Go astray"
ABETMENT,"Assistance"
ABETMENT,"Help in holding up"
ABETMENT,"Help on a heist"
ABETMENT,"Instigation"
ABETTERS,"Criminals' helpers"
ABETTERS,"Felons' friends"
ABETTERS,"Heist helpers"
ABETTING,"Bank job action?"
ABETTING,"Driving the getaway car for"
ABETTING,"Harboring a thief, e.g."
ABETTORS,"Inciters"
ABETTORS,"Lookouts, e.g."
ABETTORS,"Lookouts, sometimes"
ABEYANCE,"State of limbo"
ABEYANCE,"Suspension"
ABEYANCE,"Temporary inactivity"
ABEYANCE,"Temporary stop"
ABEYANCE,"Temporary suspension"
ABEYANCY,"Suspended state (Var.)"
ABEYANCY,"Suspended state: Var."
ABHORRED,"Couldn't stand"
ABHORRED,"Couldn't take"
ABHORRED,"Despised"
ABHORRED,"Hated with every inch of one's being"
ABHORRED,"Loathed"
ABHORRER,"One who can't stand?"
ABICYCLE,"Start of a quip"
ABIDANCE,"Act of enduring without yielding"
ABIDANCE,"Conformity"
ABIDANCE,"Patient waiting"
ABIEBABY,"""Hair"" song with birthday wishes to a president"
ABIEBABY,"""Hair"" song with the lyrics ""four score and seven years ago"""
ABIEBABY,"Song in ""Hair"" that mentions Lincoln"
ABIEBABY,"Song that quotes the Gettysburg Address in ""Hair"""
ABIGAILS,"Adams and Fillmore"
ABIGAILS,"Nabal's wife and David's sister"
ABILENES,"Cities in Texas and Kansas"
ABINITIO,"From the beginning"
ABINITIO,"From the beginning, Latin-style"
ABINITIO,"From the beginning, in Latin"
ABINITIO,"From the very beginning, in Latin"
ABITMUCH,"Adequate, and then some"
ABITMUCH,"Excessive"
ABITMUCH,"Over the top"
ABITMUCH,"Slightly more than one can tolerate"
ABITMUCH,"Slightly more than wanted"
ABITMUCH,"Somewhat excessive"
ABITMUCH,"Somewhat over the top"
ABITMUCH,"Somewhat overdone"
ABITMUCH,"Too-too"
ABLATIVE,"Grammatical case"
ABLUTION,"Ritual cleansing"
ABNEGATE,"Deny oneself"
ABNEGATE,"Give up"
ABNEGATE,"Give up, as a right"
ABNEGATE,"Give up, as rights"
ABNEGATE,"Relinquish"
ABNEGATE,"Renounce"
ABNORMAL,"Departing from accepted standards"
ABNORMAL,"Deviant"
ABNORMAL,"Eccentric"
ABNORMAL,"Freakish"
ABNORMAL,"Irregular"
ABNORMAL,"Nonstandard"
ABNORMAL,"Not right"
ABNORMAL,"Not standard"
ABNORMAL,"Odd"
ABNORMAL,"Strange"
ABNORMAL,"Wonky"
ABORNING,"Coming into being"
ABORNING,"Coming to fruition"
ABORTERS,"Apollo 13 astronauts, e.g."
ABORTIVE,"Cut short, as an attempt"
ABORTIVE,"Fruitless"
ABORTIVE,"Like a failed space launch"
ABORTIVE,"Unsuccessful"
ABORTIVE,"Unsuccessful, as a mission"
ABOUNDED,"Teemed"
ABOUNDED,"Was plentiful"
ABOUNDIN,"Crawl with"
ABOUNDIN,"Overflow with"
ABOUTHIS,"More of a zinger by Irvin S. Cobb regarding his boss, Charles Chapin"
ABOVEALL,"Chiefly"
ABOVEALL,"Especially"
ABOVEALL,"First and foremost"
ABOVEALL,"Mainly"
ABOVEALL,"More than anything else"
ABOVEALL,"Most important"
ABOVEPAR,"At a premium"
ABOVEPAR,"Better than average"
ABOVEPAR,"Better than expected"
ABOVEPAR,"Better than usual"
ABOVEPAR,"Good"
ABOVEPAR,"Good everywhere but on the golf course"
ABOVEPAR,"Good, except on the links"
ABOVEPAR,"Like a 7 on the links"
ABOVEPAR,"Like a bogey"
ABOVEPAR,"Like a disappointing golf game"
ABOVEPAR,"Like a golfer's bogey"
ABOVEPAR,"Like double bogeys"
ABOVEPAR,"Not run-of-the-mill"
ABOVEPAR,"Over the average"
ABOVEPAR,"Superior"
ABRADANT,"Sandpaper, for one"
ABRADERS,"Emery boards, e.g."
ABRADING,"Emery's purpose"
ABRADING,"Wearing down"
ABRADING,"Wearing down by scraping"
ABRAHAMS,"Lincoln and Ribicoff"
ABRAHAMS,"Lincoln and others"
ABRAHAMS,"___ bosom (heaven)"
ABRAMSON,"Atlantic Records co-founder Herb"
ABRAMSON,"Menendez defense lawyer Leslie"
ABRASION,"Band-Aid spot"
ABRASION,"It's been rubbed the wrong way"
ABRASION,"Neosporin target"
ABRASION,"Result of scraping by?"
ABRASION,"Scrape"
ABRASION,"Souvenir from a bad trip?"
ABRASIVE,"Emery or Pumice, e.g."
ABRASIVE,"Harsh"
ABRASIVE,"Like pumice"
ABRASIVE,"Like sandpaper"
ABRASIVE,"Not at all gentle"
ABRASIVE,"Pumice, e.g."
ABRASIVE,"Rubbing the wrong way?"
ABRASIVE,"Substance used for polishing"
ABREACTS,"Conquers a trauma, in therapy"
ABREACTS,"Releases pent-up emotions, in psychoanalysis"
ABRIDGED,"Condensed (as text)"
ABRIDGED,"Condensed book"
ABRIDGED,"Cut down"
ABRIDGED,"Like many Reader's Digest articles"
ABRIDGED,"Missing parts"
ABRIDGED,"Not all there"
ABRISTLE,"Like some porcupines"
ABROGATE,"Abolish by official means"
ABROGATE,"Formally abolish"
ABROGATE,"Nullify"
ABROGATE,"Rescind"
ABROGATE,"Void"
ABRUPTER,"More sudden and unexpected"
ABRUPTLY,"Without warning"
ABSCISSA,"Graph coordinate"
ABSCISSA,"Math coordinate"
ABSCISSA,"Ordinate's counterpart"
ABSCISSA,"Ordinate's opposite"
ABSCISSA,"X-axis coordinate"
ABSCISSA,"X-coordinate of a point"
ABSCONDS,"Runs off, as with stolen property"
ABSENCES,"Attendance-book notations"
ABSENCES,"Hooky player's collection"
ABSENCES,"Lacks"
ABSENCES,"Report card notation"
ABSENCES,"They make hearts grow fonder, so they say"
ABSENCES,"They may count against a grade"
ABSENCES,"They ruin perfect attendance"
ABSENTED,"Kept away"
ABSENTEE,"Hooky player"
ABSENTEE,"Kind of ballot"
ABSENTEE,"Kind of landlord"
ABSENTEE,"Kind of vote"
ABSENTEE,"King County snafu over ___ ballots"
ABSENTEE,"Like some ballots"
ABSENTEE,"Like some landlords"
ABSENTEE,"Like some voters"
ABSENTEE,"Missing one"
ABSENTEE,"Missing person"
ABSENTEE,"No-show"
ABSENTEE,"Not in residence"
ABSENTEE,"One who votes by mail"
ABSENTEE,"One who's out"
ABSENTEE,"Someone missing"
ABSENTEE,"Type of ballot"
ABSENTEE,"Type of landlord"
ABSENTEE,"Voter who wasn't there"
ABSENTEE,"___ ballot (out-of-state elector's request)"
ABSENTIA,"A defendant may be tried in it"
ABSENTIA,"In ___ (not present)"
ABSENTIA,"In ___: without actually being there"
ABSENTIA,"Some people are convicted in it"
ABSENTIA,"Something to vote in"
ABSENTIA,"The Sixth Amendment prevents trials in it, in most cases"
ABSENTIA,"Vote in ___ (use a proxy)"
ABSENTIA,"What some people are convicted in"
ABSENTLY,"'Oh, did I miss class yesterday?' Tom asked ___"
ABSENTLY,"In a preoccupied way"
ABSENTLY,"Without thinking"
ABSINTHE,"""Moulin Rouge"" potable"
ABSINTHE,"Anise-flavored liqueur"
ABSINTHE,"Green liqueur"
ABSINTHE,"Green liqueur flavored with wormwood"
ABSINTHE,"Green, toxic liqueur"
ABSINTHE,"Liqueur with a licorice flavor"
ABSINTHE,"Potent stuff called ""the green fairy"""
ABSINTHE,"Spirit that saw the ban on its sale in the United States lifted in 2007"
ABSINTHE,"Subject of a Degas café painting"
ABSINTHE,"Wormwood"
ABSINTHE,"Wormwood liqueur"
ABSINTHE,"Wormwood-flavored liqueur"
ABSOLUTE,"Sheer"
ABSOLUTE,"Total, as secrecy"
ABSOLUTE,"Unequivocal"
ABSOLUTE,"Unlimited"
ABSOLUTE,"Unquestionable"
ABSOLUTE,"Unrestricted"
ABSOLUTE,"___ ZERO"
ABSOLUTE,"___ zero (very cold)"
ABSOLVED,"Acquitted"
ABSOLVED,"Pardoned, as sins"
ABSOLVED,"Pronounced not guilty"
ABSOLVES,"Exculpates"
ABSOLVES,"Remits, as sins"
ABSONANT,"Discordant"
ABSORBED,"Soaked up"
ABSORBED,"Sucked up"
ABSORBED,"Took in"
ABSORBER,"Cushion"
ABSORBER,"Shock ___"
ABSTAINS,"Chooses not to choose"
ABSTAINS,"Chooses not to consume"
ABSTAINS,"Does not cast a ballot"
ABSTAINS,"Doesn't partake"
ABSTAINS,"Doesn't say yes or no"
ABSTAINS,"Holds back"
ABSTAINS,"Lays off, with ""from"""
ABSTAINS,"Opts not to opt"
ABSTAINS,"Refrains"
ABSTAINS,"Refrains, as from voting"
ABSTAINS,"Stays out of it"
ABSTRACT,"Hard to understand"
ABSTRACT,"Like Kandinsky's art"
ABSTRACT,"Like Pollock works"
ABSTRACT,"Like a Jackson Pollock painting"
ABSTRACT,"Like some art"
ABSTRACT,"Speech summary"
ABSTRACT,"Theoretical"
ABSTRUSE,"Clear as mud"
ABSTRUSE,"Deep"
ABSTRUSE,"Esoteric"
ABSTRUSE,"Hard to grasp"
ABSURDLY,"Ludicrously"
ABUDHABI,"*Capital of the United Arab Emirates"
ABUDHABI,"Capital east of Riyadh"
ABUDHABI,"Capital of the United Arab Emirates"
ABUDHABI,"Capital on a Persian Gulf island"
ABUDHABI,"Capital on the Persian Gulf"
ABUDHABI,"Emirate capital"
ABUDHABI,"Gulf emirate"
ABUDHABI,"Largest UAE sheikdom"
ABUDHABI,"Largest of the United Arab Emirates"
ABUDHABI,"Largest of the seven United Arab Emirates"
ABUDHABI,"One of the United Arab Emirates"
ABUDHABI,"Persian Gulf capital"
ABUDHABI,"Persian Gulf emirate"
ABUDHABI,"Persian Gulf sheikdom"
ABUDHABI,"UAE sheikdom"
ABUDHABI,"United Arab Emirates' capital"
ABUNDANT,"Plentiful"
ABUNDANT,"Teeming"
ABUSENOT,"Blue crocus"
ABUTMENT,"Arch support"
ABUTMENT,"Bridge support"
ABUTMENT,"Junction"
ABUTMENT,"Point of contact"
ABUTMENT,"Supporting structure"
ACADEMES,"College professors, e.g."
ACADEMES,"Eggheads"
ACADEMES,"Learning environments"
ACADEMES,"Places of instruction and learning"
ACADEMES,"University environments"
ACADEMIA,"A university and its surroundings"
ACADEMIA,"Chronicle of Higher Education topic"
ACADEMIA,"College life"
ACADEMIA,"College world"
ACADEMIA,"Collegedom"
ACADEMIA,"Dean's concern"
ACADEMIA,"Dean's domain"
ACADEMIA,"Dean's world"
ACADEMIA,"Don's world"
ACADEMIA,"Educational milieu"
ACADEMIA,"It's not the real world"
ACADEMIA,"Ivory tower locale"
ACADEMIA,"Ivory tower milieu"
ACADEMIA,"Ivory tower setting"
ACADEMIA,"Ivory tower, maybe"
ACADEMIA,"Ivory-tower milieu"
ACADEMIA,"Oxford setting"
ACADEMIA,"Prof's life"
ACADEMIA,"Professor's milieu"
ACADEMIA,"Professors and the like"
ACADEMIA,"Publish-or-perish milieu"
ACADEMIA,"Scholar's milieu"
ACADEMIA,"Scholar's sphere"
ACADEMIA,"Scholarly environs"
ACADEMIA,"Scholastic stronghold"
ACADEMIA,"Scholastic world"
ACADEMIA,"St. John's world"
ACADEMIA,"The Ivies, et al."
ACADEMIA,"The educational community"
ACADEMIA,"University milieu"
ACADEMIA,"University universe"
ACADEMIA,"World of scholars"
ACADEMIC,"Campus figure"
ACADEMIC,"College teacher"
ACADEMIC,"Entirely conjectural"
ACADEMIC,"Hypothetical"
ACADEMIC,"Hypothetical, as a question"
ACADEMIC,"Ivory tower inhabitant"
ACADEMIC,"Kind of year"
ACADEMIC,"Moot"
ACADEMIC,"Not directly useful"
ACADEMIC,"Not practical"
ACADEMIC,"Not really practical"
ACADEMIC,"Of schooling"
ACADEMIC,"Theoretical"
ACADEMIC,"Tweedy type"
ACADEMIC,"University professor"
ACADIANS,"Some residents of Canada"
ACANTHUS,"Ornate leaf, or a design patterned after it"
ACANTHUS,"Plant represented at the top of Corinthian columns"
ACAPELLA,"Like many ""Glee"" numbers: Var."
ACAPELLA,"Like many doo-wop groups: Var."
ACAPELLA,"Like some choirs: Var."
ACAPELLA,"Without backing, in a way: Var."
ACAPELLA,"Without instrumental accompaniment (var.)"
ACAPELLA,"Without instrumentation"
ACAPULCO,"Cliff-diving mecca"
ACAPULCO,"Home of La Quebrada's cliff divers"
ACAPULCO,"Mexican cruise port"
ACAPULCO,"Mexican mecca"
ACAPULCO,"Mexican resort"
ACAPULCO,"Mexican seaport known for its cliff divers"
ACAPULCO,"Mexican vacation site"
ACAPULCO,"Mexican winter resort"
ACAPULCO,"Pacific resort"
ACAPULCO,"Presley movie site"
ACAPULCO,"Resort town on the Pacific"
ACARPOUS,"Bearing no fruit"
ACAUDATE,"Without a tail"
ACCEDERS,"Compliant ones"
ACCEDETO,"Approve"
ACCEDETO,"Assume, as a position of power"
ACCEDETO,"Assume, as an office"
ACCEDETO,"Okay"
ACCEDETO,"Reluctantly accept"
ACCEDETO,"Take, as the throne"
ACCEDING,"Taking over, as an office"
ACCENTED,"Emphasized"
ACCENTED,"Spotlit, say"
ACCEPTED,"Allowable"
ACCEPTED,"Not taboo"
ACCEPTED,"Signed for"
ACCEPTED,"Took"
ACCEPTEE,"One admitted to a college, e.g."
ACCEPTIT,"""Don't argue!"""
ACCESSED,"Gained entry to"
ACCESSED,"Got into"
ACCESSED,"Got to"
ACCESSED,"Received admittance"
ACCESSES,"Attic entryways"
ACCESSES,"Draws from"
ACCESSES,"Gets to use"
ACCESSES,"Gets to via computer"
ACCESSES,"Gets via computer"
ACCESSES,"Gets via the Net"
ACCESSES,"Rights to enter"
ACCESSES,"Security concerns"
ACCESSES,"Ways to get in"
ACCIDENT,"Adjuster's concern"
ACCIDENT,"Chance happening"
ACCIDENT,"Event preceding trip to body shop"
ACCIDENT,"Fender bender, e.g."
ACCIDENT,"Fluke"
ACCIDENT,"Insured event"
ACCIDENT,"Mishap"
ACCIDENT,"Unfortunate automotive event"
ACCLAIMS,"Gives props to"
ACCLAIMS,"Praises"
ACCLAIMS,"Welcomes with cheering"
ACCOLADE,"Cheer"
ACCOLADE,"Complimentary review"
ACCOLADE,"Formal award"
ACCOLADE,"Four-star review"
ACCOLADE,"Great review"
ACCOLADE,"High praise"
ACCOLADE,"High praise or honor"
ACCOLADE,"Honor"
ACCOLADE,"Rave review"
ACCOLADE,"Sign of approval"
ACCOLADE,"Special praise"
ACCOMPLI,"Fait ___"
ACCORDED,"Granted"
ACCOSTED,"Confronted"
ACCOSTED,"Confronted boldly"
ACCOSTED,"Greeted aggressively"
ACCOSTED,"Greeted intrusively"
ACCOUNTS,"Narrations"
ACCOUTER,"Equip"
ACCOUTER,"Outfit"
ACCOUTER,"Ready for battle"
ACCOUTRE,"Equip, Brit-style"
ACCOUTRE,"Equip: Brit."
ACCRABAT,"Somersaulter from Ghana?"
ACCREDIT,"Approve, as a university"
ACCREDIT,"Authorize"
ACCREDIT,"Certify"
ACCREDIT,"Certify, as a college"
ACCREDIT,"Certify, as a school"
ACCREDIT,"Give approval"
ACCREDIT,"Officially certify"
ACCREDIT,"Recognize"
ACCREITE,"Certified"
ACCRETED,"Built up"
ACCRETED,"Built up gradually"
ACCRETED,"Grew together"
ACCRETES,"Grows together"
ACCRUALS,"Interest amounts"
ACCRUALS,"Savings account gains"
ACCRUING,"Adding up, as interest"
ACCRUING,"Building up"
ACCRUING,"Generating interest"
ACCRUING,"Growing"
ACCURACY,"Freedom from error"
ACCURACY,"Precision"
ACCURATE,"How counts should be"
ACCURATE,"On target"
ACCURATE,"On the money"
ACCURATE,"Precise"
ACCURATE,"Right on"
ACCURATE,"Right on the nose"
ACCURATE,"True"
ACCURSED,"Abominable"
ACCURSED,"Doomed"
ACCURSED,"Facing failure"
ACCURSED,"Ill-fated"
ACCUSALS,"Charges"
ACCUSALS,"Indictments"
ACCUSALS,"Whodunit climaxes"
ACCUSEOF,"Charge with"
ACCUSTOM,"Familiarize"
ACCUSTOM,"Get used (to)"
ACCUSTOM,"Habituate"
ACCUTANE,"Brand name for the acne drug Isotretinoin"
ACEMAKER,"Card manufacturer? (or heart device missing a piece)"
ACENTRIC,"Lacking a middle"
ACENTRIC,"Like certain chromosome fragments"
ACEPHATE,"Common insecticide"
ACEPOINT,"Score in backgammon"
ACERBATE,"Embitter"
ACERBATE,"Make bitter"
ACERBATE,"Make sour"
ACERBITY,"Sourness"
ACERBLIE,"Bitter untruth?"
ACESFULL,"It ranks just below quads*"
ACESHIGH,"Elevens, not ones, in blackjack?"
ACESHIGH,"Like the best full houses"
ACESOVER,"Certain full house, in poker lingo"
ACESOVER,"Good two pair*"
ACESOVER,"Start of a full house declaration, maybe"
ACESOVER,"Winning full house, for short"
ACESWILD,"Game in which ""bullets"" can be whatever card you decide"
ACESWILD,"Poker game"
ACESWILD,"Poker stipulation"
ACETATES,"Artwork overlays"
ACETATES,"Bases for movie film"
ACETATES,"Certain salts"
ACETATES,"Clear overlays"
ACETATES,"Clear plastic sheets"
ACETATES,"Clear plastics"
ACETATES,"Clear sheets"
ACETATES,"Film bases"
ACETATES,"Film materials"
ACETATES,"Overhead sheets"
ACETATES,"Overhead transparencies"
ACETATES,"Plastic overlays for artwork"
ACETATES,"Protective overlays"
ACETATES,"Salts not found at sea, etc."
ACETATES,"Some protective covers"
ACETATES,"Some synthetic fabrics"
ACETATES,"Synthetic fabrics"
ACETATES,"Synthetic fibers"
ACETATES,"Textile fibers"
ACETONES,"Cigarette smoke byproducts"
ACETONES,"Colorless solvents"
ACETONES,"Flammable solvents"
ACETONES,"Nail polish remover ingredients"
ACETONES,"Options for thinning"
ACETONES,"Polish removers"
ACETONES,"Some solvents"
ACETONES,"Thinner components"
ACETONES,"Thinner elements"
ACETONES,"Volatile solvents"
ACHESFOR,"Desires passionately"
ACHESFOR,"Greatly desires"
ACHESFOR,"Keenly desires"
ACHESFOR,"Really wants"
ACHIEVED,"Accomplished"
ACHIEVED,"Pulled off"
ACHIEVER,"Ambitious sort"
ACHIEVER,"Go-getter"
ACHIEVER,"One who gets things done"
ACHIEVER,"Results getter"
ACHIEVER,"Success"
ACHIEVER,"Success story"
ACHIEVER,"Successful one"
ACHIEVER,"Successful sort"
ACHIEVES,"Gets"
ACHIEVES,"Makes it to the top"
ACHIEVES,"Pulls off"
ACHIEVES,"Reaches"
ACHIEVES,"Reaches a goal"
ACHILLES,"""Iliad"" hero"
ACHILLES,"A big heel?"
ACHILLES,"Friend of Antilochus"
ACHILLES,"He had a foot problem"
ACHILLES,"Hero with a vulnerable heel"
ACHILLES,"Mythical hero with a bum heel"
ACHILLES,"Mythical hero with a bum heel?"
ACHILLES,"Nearly invulnerable warrior"
ACHILLES,"Not so well-heeled person?"
ACHILLES,"Trojan War hero"
ACHILLES,"Victim of Paris"
ACHINESS,"Flu clue"
ACHINGLY,"In a yearning way"
ACHINGLY,"With great poignancy"
ACIDCELL,"Battery part"
ACIDCELL,"Battery type"
ACIDCELL,"Kind of battery"
ACIDNESS,"Ill manner"
ACIDNESS,"Vitriol"
ACIDOSIS,"Low-pH blood condition"
ACIDRAIN,"Corrosive stuff from the sky"
ACIDRAIN,"Corrosive stuff from the sky*"
ACIDRAIN,"Deleterious precipitation"
ACIDRAIN,"Destructive precipitation"
ACIDRAIN,"EPA concern"
ACIDRAIN,"EPA worry"
ACIDRAIN,"Ecological danger"
ACIDRAIN,"Ecological problem"
ACIDRAIN,"Environmental awareness topic"
ACIDRAIN,"Environmental hazard"
ACIDRAIN,"Environmental issue"
ACIDRAIN,"Environmental problem"
ACIDRAIN,"Environmental woe"
ACIDRAIN,"Environmentalist's concern"
ACIDRAIN,"Falling pollution"
ACIDRAIN,"Formerly volatile U.S.-Canada issue"
ACIDRAIN,"Harmful downfall"
ACIDRAIN,"Harmful precipitation"
ACIDRAIN,"Hazard that falls from the sky"
ACIDRAIN,"Low-pH precipitation"
ACIDRAIN,"One cause of deforestation"
ACIDRAIN,"Pollutant linked to fossil fuels"
ACIDRAIN,"Polluted precipitation"
ACIDRAIN,"Terror from the skies?"
ACIDRAIN,"Threat to alfresco artwork"
ACIDROCK,"""Purple Haze"" genre"
ACIDROCK,"1960's Haight-Ashbury sound"
ACIDROCK,"60's-70's music genre"
ACIDROCK,"Genre for Jimi Hendrix"
ACIDROCK,"Jefferson Airplane genre"
ACIDROCK,"Jimi Hendrix's genre"
ACIDROCK,"Pink Floyd genre"
ACIDSALT,"Sodium bisulfate, for one"
ACIDSOIL,"Lime target"
ACIDSOIL,"Sulfurous rock production"
ACIDTEST,"""The Electric Kool-Aid ___"" (1967 Tom Wolfe chronicle)"
ACIDTEST,"Conclusive trial"
ACIDTEST,"Credibility determiner"
ACIDTEST,"Critical evaluation"
ACIDTEST,"Critical step"
ACIDTEST,"Critical step in analysis"
ACIDTEST,"Crucial challenge"
ACIDTEST,"Crucial trial"
ACIDTEST,"Decisive assessment"
ACIDTEST,"Decisive exam"
ACIDTEST,"Decisive experiment"
ACIDTEST,"Decisive proof"
ACIDTEST,"Defining challenge"
ACIDTEST,"Merry Prankster party"
ACIDTEST,"Proof provider"
ACIDTEST,"Rigorous scrutiny"
ACIDTEST,"Telling trial"
ACIDTEST,"True trial"
ACIDTEST,"Where the rubber meets the road, so to speak"
ACIDTRIP,"Excursion for Leary"
ACIDWASH,"Jeans-fading process"
ACOLYTES,"Altar attendants"
ACOLYTES,"Altar boys"
ACOLYTES,"Followers"
ACOLYTES,"Liturgical helpers"
ACOLYTES,"Pupils"
ACONITES,"Monkshood and wolfsbane"
ACONITES,"Monkshood plants"
ACONITES,"Wolfsbane and monkshood"
ACORNERS,"Parts of churches appropriate to this puzzle"
ACOURTIN,"Go ___ (date, hillbilly-style)"
ACOUSTIC,"""Unplugged"" guitar"
ACOUSTIC,"*Like a Taylor 810, say"
ACOUSTIC,"Folkie's choice of guitar"
ACOUSTIC,"Guitar with no plug"
ACOUSTIC,"Kind of guitar"
ACOUSTIC,"Not electric, as a guitar"
ACOUSTIC,"Type of guitar"
ACOUSTIC,"Unplugged?"
ACQUAINT,"Familiarize"
ACQUAINT,"Familiarize (with)"
ACQUAINT,"Inform"
ACQUAINT,"Make familiar"
ACQUIRES,"Comes into"
ACQUIRES,"Gets"
ACQUIRES,"Picks up"
ACREAGES,"Farmers' holdings"
ACREAGES,"Farmers' spreads"
ACREAGES,"Land figures"
ACREAGES,"Lots and lots?"
ACREAGES,"Realtor's quantities"
ACREFEET,"Irrigation units"
ACREFEET,"Measurement units of aqueducts"
ACREFOOT,"Irrigation unit"
ACREFOOT,"Unit of irrigation"
ACREINCH,"Unit equivalent to 3,630 cubic feet"
ACRIDITY,"Bitterness"
ACRIDITY,"Pungency"
