AARONCOPLAND,"""A Lincoln Portrait"" composer"
AJAXCLEANSER,"Scouring product"
AKINDWORDAND,"Part 2 of quip"
AKINGSRANSOM,"Excessive wealth"
AKINGSRANSOM,"What you might pay"
AKITSCHYCOUP,"Answer to the riddle"
ALABAMABROWN,"Gal in a jazz classic who went west?"
ALABAMACLIFT,"HEART OF DIXIE ACTOR 1"
ALADDINSLAMP,"Make a wish on this"
ALANCRANSTON,"Democratic senator who ran for president in 1984"
ALANCRANSTON,"Sen. Barbara Boxer's predecessor *"
ALANNAHMYLES,"Canadian one-hit wonder who hit #1 in 1990"
ALASTAIRSIMP,"""Dr. Jerkyll and Mr. Hyde""?"
ALATTRACTION,"Gore's sex appeal?"
ALATTRACTION,"Lust for Gore?"
ALBACORETUNA,"It's milder than yellowfin"
ALBARDBROOKS,"Comic-turned-Shakespearean actor?"
ALBARDBROOKS,"Star of Love's Labour's Lost in America?"
ALBERTBROOKS,"""Broadcast News"" costar"
ALBERTBROOKS,"Marlin's voice in ""Finding Nemo"""
ALBERTFINNEY,"Musical Ebenezer Scrooge (1970)"
ALBERTFRESCO,"Outdoorsy guy?"
ALBERTPUJOLS,"___ ""Winnie the"" ___ (first baseman)"
ALBUMENCOVER,"Eggshell?"
ALBUMJACKETS,"Covers"
ALCAPPUCCINO,"Actor who demands frothy coffee on the set?"
ALEAIACTAEST,"*The die is cast"
ALEAJACTAEST,"""The die is cast,"" to Caesar"
ALECGUINNESS,"""Star Wars"" star"
ALECGUINNESS,"Oscar winner for ""The Bridge on the River Kwai"""
ALESSONDYING,"Ernest Gaines title about racism, read literally"
ALEXDELAWARE,"Kellerman detective's river?"
ALEXOVECHKIN,"First NHL player to win the Art Ross Trophy, Maurice Richard Trophy, Lester B. Pearson Award, and Hart Memorial Trophy in a single season"
ALEXOVECHKIN,"Noted Washington left winger"
ALFREDKINSEY,"Pioneering sex researcher who frequently wore bow ties"
ALFREDLANDON,"Franklin Delano Roosevelt crushed him in 1936 (1887-1987)"
ALFREDMOLINA,"Doc Ock player in ""Spider-Man 2"""
ALFREDXNYSON,"""My strength is as the strength of ten"" poet"
ALHIRTMYSELF,"Masochistic trumpeter's prediction?"
ALICEDERCOOK,"Member of the German cast of Upstairs, Downstairs?"
ALICEHOFFMAN,"Her ""Here on Earth"" was the March 1998 pick"
ALICESPRINGS,"Australian town in a miniseries"
ALIENORRIGBY,"Beatles tune about a property seller?"
ALIGATORPEAR,"Avocado"
ALIKELYSTORY,"""No way!"""
ALIKELYSTORY,"""Yeah, right!"""
ALIMONYISTHE,"Quip: Part one"
ALISTAIRCOOK,"PBS host who's good in the kitchen?"
ALITTLEEXTRA,"Just one or two sticks?"
ALITTLEEXTRA,"Munchkin in ""The Wizard of Oz""?"
ALITTLEHORSE,"What the raspy pony was?"
ALITTLELATER,"Theme of this puzzle"
ALITTLEMOOSE,"""And I'll finish up with ___..."""
ALITTLEMOOSE,"""Okay, and I'll finish up with ___..."""
ALIVEANDWELL,"Fine"
ALKYLSELTZER,"Chemist's favorite antacid?"
ALLABOUTADAM,"Worst Picture of 1950?"
ALLABOUTANNE,"1950 classic, truthfully?"
ALLABOUTYVES,"Saint Laurent's revealing film bio?"
ALLAMERICANS,"Athletic elite"
ALLCONQUEROR,"Love"
ALLDAYSUCKER,"Patsy, to anyone anytime?"
ALLENANDGUYS,"Poet Ginsberg plus his male buds?"
ALLENIVERSON,"2000-01 NBA MVP"
ALLGUSSIEDUP,"Dressed to the nines"
ALLIGATORCLP,"Leathery drinking vessel?"
ALLIMEANTWAS,"Explainer's words"
ALLINALATHER,"Worked up"
ALLINCLEMENT,"Totally stormy?"
ALLINTHENAVY,"""The Bunkers must adapt to tight quarters aboard a nuclear submarine."""
ALLITERATION,"""Full fathom five thy father lies..."""
ALLITERATION,"""Twice-Told Tales,"" literarily"
ALLITERATION,"... using ___: 'Lisa loved her little lamb / Its wool was white and waxen'"
ALLITERATION,"Fe, fi, fo, fum, e.g."
ALLITERATION,"WORDS WORK WONDERS"
ALLNIGHTLONG,"1981 film for which Barbra Streisand earned her first Razzie nomination"
ALLNIGHTLONG,"1983 Lionel Richie #1 song"
ALLNITEFINER,"24/7 town judge?"
ALLOFASUDDEN,"Unexpectedly"
ALLOFASUDDEN,"Without warning"
ALLOSAURUSES,"Literally, ""different lizards"""
ALLOTTHESAME,"Distribute equal amounts?"
ALLRIPPLEDUP,"In desperate need of ironing?"
ALLSQUAREDUP,"Even, and this puzzle's title"
ALLSTARGAMES,"Annual baseball events"
ALLSYSTEMSGO,"NASA OK"
ALLTHATWESEE,"Start of a verse by Edgar Allan Poe"
ALLTRUSTAFEW,"""Love ___ "": Shak."
ALLYOUCANEAT,"Buffet deal"
ALLYOUCANEAT,"Restaurant come-on"
ALLYOUCANEAT,"k.d. lang ALBUM OF 1995"
ALLYOURHEART,"Quote: Part 5"
ALLYSANGNUDE,"TV's McBeal participated in naked karaoke?"
ALMFORMURDER,"Movie the Princess walked out of?"
ALMOSTFAMOUS,"""...it's not a rock film, it's a coming- of-age film...""--Roger Ebert, 2000, 4 stars"
ALMOSTFAMOUS,"Cameron Crowe film"
ALMOSTFAMOUS,"Cameron Crowe's story of hanging out with rock stars in the 1970s"
ALOHAHAWKEYE,"""See ya, Major Pierce""?"
ALOHASTADIUM,"Where the Pro Bowl is played"
ALOVELYCOUPE,"What newlyweds might drive away in?"
ALOVELYCOUPE,"What newlyweds might drive away in? (L)"
ALOWCRABDIET,"Program that limits seafood intake?"
ALOWCRABDIET,"What the dieting seagull was on?"
ALPHABETANDA,"Riddle, part 2"
ALPHABETSOUP,"End of complaint: 2 wds."
ALPHABETSOUP,"End of quip"
ALPHABETSOUP,"End of the quip"
ALPHABETSOUP,"Its letters may be bolted down"
ALPHABETSOUP,"Menu item"
ALPHABETSOUP,"Readable lunch?"
ALPHABETSOUP,"What the teacher brought"
ALPHAWOODARD,"Greek actress in ""Crooklyn""?"
ALPINESKIING,"Tommy Moe's specialty"
ALPINESKIRTS,"Dirndls?"
ALSOSERVEWHO,"Quote: Part II"
ALSPALSOPALS,"Gems of Gore's friends?"
ALTAREDSTATE,"Marriage?"
ALTERCATIONS,"Set-to with ACTIONS?"
ALTEREDSTATE,"Yew Nork"
ALTEREDSTATS,"Film about falsified figures?"
ALTERMONDALE,"Change an ex-vice president?"
ALTHEAGIBSON,"1957 and 1958 Wimbledon and U.S. Open winner"
ALUMINUMFISH,"Pet-store reject?"
ALUMINUMFLIO,"Wrap of a sort"
ALUMINUMFOIL,"It's sold by the roll"
ALUMINUMFOIL,"Wrap for leftovers"
ALUMINUMFOIL,"Wrapper for leftovers"
ALUMINUMWRAP,"Tin foil"
ALVINTOFFLER,"""Future Shock"" author"
ALWAYSONTIME,"2002 #1 hit for rapper Ja Rule"
ALWAYSTOOOLD,"Part 4 of the quip"
AMAHLSHOOKUP,"What Menotti's Wise Men left?"
AMANINLOVEIS,"Start of a quote"
AMANSHONESTY,"Part 2 of the quote"
AMANWHONEVER,"ore of the quip"
AMARILLOSLIM,"Word Series of Poker winner"
AMATEURBOXER,"Golden Gloves participant"
AMATEURBOXER,"Olympian in a ring"
AMATEURLEVEL,"College athletics standing"
AMATEURLEVEL,"Like boxing with head guards"
AMAZINGGRACE,"Classic John Newton hymn"
AMAZINGGRACE,"She received a book about wizardry"
AMAZINGGRACE,"Song of faith"
AMAZINGGRAYS,"Boomer's update of a 1971 Judy Collins song?"
AMAZINGGRAZE,"Best meal of a cow's life?"
AMAZONDOTCOM,"Internet store"
AMAZONKINDLE,"Book keeper?"
AMBIDEXTROUS,"Deft with either hand"
AMBIDEXTROUS,"Using both sides with equal frequency (like the letters in this puzzle's answer grid?)"
AMBUSHLEAGUE,"Group specializing in sneak attacks?"
AMERICANFLAG,"""Glorious"" sight"
AMERICANFLAG,"Fort McHenry sight"
AMERICANFLAG,"It had 15 stripes for 23 years"
AMERICANFLAG,"Object on the moon since 1969"
AMERICANGIRL,"Historical doll line"
AMERICANGIRL,"Historical doll of today"
AMERICANGIRL,"Tom Petty classic"
AMERICANHERO,"John Glenn or Davy Crockett, e.g."
AMERICANICON,"APPLE PIE"
AMERICANIDLE,"Pilot about an airline on strike?"
AMERICANIDLE,"Reality show about U.S. unemployment"
AMERICANIDLE,"Yankee sitting on the bench?"
AMERICANIDOL,"Ruben Studdard's title"
AMERICANIDOL,"TV show for wannabe singers"
AMERICANIDOL,"Top-ranked Fox talent show, and this puzzle's theme"
AMERICANIDOL,"Where people do what Simon says"
AMERICANNYES,"Louis and Carrie?"
AMERICANPLAN,"AP, to a travel agent"
AMERICANREAM,"Patriotic paper purchase?"
AMERICANTUNE,"Patriotic Paul Simon song?"
AMERICASCOOP,"National henhouse?"
AMERICASDCUP,"Big bra endorsed by Uncle Sam?"
AMESTOPLEASE,"Is exceedingly helpful?"
AMIINYOURWAY,"Considerate question on the green"
AMILLIONAIRE,"See 25A"
AMILLIONAIRE,"See 66A"
AMINTERSTALE,"Play about a penny producer?"
AMISHCOUNTRY,"Compilation album about drinking and troubles among the Mennonites?"
AMISSAMERICA,"The U.S., when things aren't going well?"
AMOCOSTATION,"Full-filling place?"
AMONGFRIENDS,"Safe, in a way"
AMORALHAZARD,"Tornado or earthquake, which can harm you without being cognizant of it?"
AMOSANDDANDY,"Cookie man with a Yankee Doodle?"
AMPCOLLECTOR,"Roadie, after a gig?"
AMPHIBUSCARS,"SeaRoader and Aquajeep"
AMPHITHEATER,"Hollywood Bowl, e.g."
AMRADIOWAVES,"They're from 50 to 170 millimeters long"
AMYWINEHOUSE,"*Her ""Rehab"" won a Grammy for Song of the Year"
AMYWINEHOUSE,"*Singer with a look fashioned largely after Ronnie Specter"
ANACONDARAIN,"Why the snakes' ball game was called off?"
ANACTOFGODOT,"Part of a Beckett play?"
ANACTOFPEACE,"""Poetry is..."" (Pablo Neruda)"
ANAHEIMDUCKS,"Birds in the NHL?"
ANAIRPLANEIS,"Start of quip"
ANARMANDALEG,"High price to pay"
ANARMANDALEG,"Lots, pricewise"
ANARMANDALEG,"What you might pay"
ANATOLEPARIS,"A capital Nobel Prize novelist?"
ANCHOVYPASTE,"Fishy topping for canapes"
ANCIENTCREEK,"Offshoot of ""Ol' Man River""?"
ANCIENTEIGHT,"Alternate name for the Ivy League"
ANDANACTRESS,"End of the riddle"
ANDASCOOKSGO,"Quip, part 4"
ANDCOSTSJUST,"Part 3 of quote"
ANDDIETAGAIN,"End of quip"
ANDDONTLETGO,"Part 2 of command"
ANDGOFISHING,"End of quote"
ANDILLFILLIT,"End of the quote"
ANDILOVEHERA,"Concluding words from a Samos temple attendee?"
ANDINSTEADOF,"Part 4 of quip"
ANDLANDBLAND,"Moreover, the terrain is dull?"
ANDLIGHTNING,"End of the quip"
ANDONENIGHTS,"A thousand missing in Persian fantasy?"
ANDPEOPLERUN,"Part 4 of quip"
ANDREWDICLAY,"Comedian whose Saturday Night Live appearance prompted a boycott by Sinead O'Connor and Nora Dunn"
ANDREWSARRIS,"Film critic who advocated the auteur theory"
ANDREWWARNED,"Dice Clay told to back off?"
ANDSINKASHIP,"End of the quote"
ANDSINNOMORE,"""Go, ___"" (John 8:11)"
ANDSTRIKEOIL,"End of the quote"
ANDTHATSTHAT,"*""End of discussion"""
ANDTHEYREOFF,"Racetrack announcement"
ANDTIREDOFIT,"End of the quip"
ANDWHENHEDID,"More of the quip"
ANDWHENIDIVE,"Swimmer's theme song?"
ANDYESHALLBE,"""... forgive, ___ forgiven"" (Luke 6:37)"
ANDYLUGSLENA,"Actor Griffith carries singer Horne?"
ANDYSIPOWICZ,"Role for which Dennis Franz won four Emmys"
ANEFORDETAIL,"Crime scene investigator's need"
ANEMICCINEMA,"Grade-C movies?"
ANESTHETISTS,"A number of..."
ANGELABASSET,"Lassie is going as ___"
ANGELASASHES,"Antecedent to the memoir ""'Tis"""
ANGELASASHES,"Best-selling book"
ANGELASASHES,"Frank McCourt memoir"
ANGELLNSBURY,"Four-time Tony winner"
ANGELSANGLES,"Ball team's tricky maneuvers?"
ANGERSAWEIGH,"Song for cross sailors?"
ANGLEDANGLEE,"Set an Oscar-winning director at a slant?"
ANGORARABBIT,"Long-haired lagomorph"
ANGRYPATIENT,"Furious/not furious"
ANHEUSERBUSH,"Company that makes beer for the White House?"
ANIMALCRACKS,"Quips from fauna?"
ANIMALDREAMS,"Kingsolver's second novel"
ANIMALLAMINA,"Snakeskin"
ANIMALPLANET,"'Cats 101' channel"
ANIMALSOUNDS,"They're hidden in this puzzle's seven longest answers"
ANIMATRONICS,"Movie creatures technology"
ANINVITATION,"""What do you want, ___?"""
ANISEOFSIENA,"Herb purchased in Italy?"
ANITALOOSEST,"Most relaxed author?"
ANIVORYTOWER,"Something to live in, if you're privileged"
ANKARAYEKRUT,"World capital since 1923"
ANKLEMONITOR,"*House arrestee's device"
ANKLEMONITOR,"Martha Stewart accessory, for a while"
ANKLEMONITOR,"Probation device that Martha Stewart wore"
ANNAKARENINA,"...""Leo Tolstoy"" by ___..."
ANNAKARENINA,"1935 Greta Garbo role"
ANNAKARENINA,"Aleksei Vronsky's love"
ANNAKARENINA,"Count Vronsky's love"
ANNAKARENINA,"Greta Garbo and Vivien Leigh played her on film"
ANNAKARENINA,"Leo Tolstoy heroine"
ANNAKARENINA,"Tolstoy heroine"
ANNAKARENINA,"Tolstoy novel"
ANNAKENDRICK,"Best Supporting Actress nominee this Sunday for ""Up in the Air""*"
ANNAQUINDLEN,"1992 Pulitzer-winning columnist"
ANNBAKESCAKE,"Curry does a patisserie job?"
ANNEBANCROFT,"Mel Brooks' spouse"
ANNEHATHAWAY,"She married William Shakespeare"
ANNEOFCLEVES,"Henry VIII's fourth wife"
ANNESUGLYLAD,"Hideous boy in a novel by writer Rice?"
ANNOYLANDERS,"Bother some space vehicles?"
ANNOYVIETNAM,"Irritating Asian city?"
ANNRADCLIFFE,"18th century Gothic fiction pioneer"
ANNUALREPORT,"Yearly accounting of economic health"
ANOCCUPATION,"End of quote"
ANONYMOUSSEX,"Certain hookup"
ANONYMOUSTIP,"Cop's often-unreliable lead"
ANOTHERWHEEL,"Part two of the question"
ANOTHERWORLD,"Show Peter (Christopher Knight) appeared on for one season in the 1980s"
ANTAGONISTIC,"Little colonizer in torment?"
ANTEDILUVIAN,"Belonging to the period before the Flood [1994]"
ANTEDILUVIAN,"Very old and outmoded"
ANTELOPEMENT,"Marriage on the range?"
ANTEMERIDIEM,"Half a day"
ANTEMERIDIEM,"Occurring before noon"
ANTENNAARRAY,"Radio astronomy aid"
ANTHOBDWARDS,"Actor who played Dr. Mark Green on ""ER"""
ANTHONYQUINN,"""Lust for Life"" actor"
ANTHONYQUINN,"Deep-voiced star of ""Zorba the Greek"""
ANTHONYWAYNE,"General born 1/1/1745"
ANTIABORTION,"Like opposers of the Roe v. Wade decision"
ANTIAMERICAN,"Hostile to the United States"
ANTICIPATION,"Carly Simon tune"
ANTIMACASSAR,"Non-PC chair protector?"
ANTIPARTICLE,"Positron, e.g."
ANTIPASTOARE,"Musing, part 3"
ANTIQUEANNES,"Mall kiosk with really stale pretzels?"
ANTIQUEPHONE,"Item with a crank"
ANTLERRENTAL,"Moose-costume enabler?"
ANTONCHEKHOV,"Russian who called medicine his wife and literature his mistress"
ANTONIOGAUDI,"Architect of the Barcelona basilica La Sagrada Família"
ANTONIOGAUDI,"Spanish architect who designed the unfinished Sagrada Familia church in Barcelona"
ANYOLDHOLLOW,"Whichever Kentucky valley?"
ANYONESGUESS,"Quite undecided"
ANYQUESTIONS,"""My lecture's done, but we still have five minutes"""
ANYQUESTIONS,"'Capeesh?'"
ANYSECONDNOW,"""Very, very soon"""
ANYTHINGGOES,"Broadway musical about a no-holds-barred WWF extravaganza?"
ANYTHINGGOES,"Broadway musical about a wrestling free-for-all?"
ANYTHINGGOES,"Cole's hit of 1934"
ANYTHINGGOES,"Extreme laissez-faire"
AOLINSTINCTS,"Jumping for joy and dreading bad news when ""you've got mail"""
APAGETOINDIA,"Novel about a Congressional employee's junket to Mumbai?"
APATCHOFLUBE,"Film about a stained driveway?"
APBPIPECINCH,"A shoo-in"
APELLETCOURT,"Where Elmer's cage-cleaning complaints usually end up?"
APELLETCOURT,"Where lawsuits against Bugs usually end up?"
APEPOLITICAL,"Like campaign monkey business?"
APHANOUSGOWN,"Not a dress for the Princess?"
APIECEOFCAKE,"""So simple!"": 4 wds."
APOCALYPSENO,"Film about averting a cataclysm?"
APOCALYPSEOW,"Tale playing dooms-day?"
APOCALYPSEOW,"ather understated reaction to the Millennium?"
APOEMTOASTAR,"Percy Shelley wrote one in 1811"
APOSTROPHIZE,"Address an imaginary person"
APPALLABOARD,"Give the directors shocking company news?"
APPARELOFFUN,"Sports uniforms?"
APPARENTLYBY,"Part 5 of the quip"
APPASSIONATA,"#23"
APPEARANCEOF,"Part 4 of quote"
APPEAREDONTV,"What no president until FDR did"
APPENDTABLES,"Make a textbook clearer with charts?"
APPLAUDNOEND,"Withhold praise for certain football linemen?"
APPLEBLOSSOM,"""I'll be with you in ___ time..."""
APPLEBLOSSOM,"Andrews Sisters hit single and album title"
APPLEBLOSSOM,"Flower of a certain fruit tree"
APPLEBLOSSOM,"State flower of Arkansas"
APPLECRITTER,"Computer worm?"
APPLECRUMBLE,"Dessert choice"
APPLECRUMBLE,"Fruity dessert"
APPLECRUMBLE,"Relative of a certain cobbler"
APPLEDECIDER,"Certain computer purchaser?"
APPLEDECIDER,"One shunning PCs?"
APPLEOFMYEYE,"1965 Roy Head song"
APPLEOFONESE,"Cherished thing"
APPLEORCHARD,"Fruitful land"
APPLEPANTIES,"Some edible underwear?"
APPLEPICKING,"Fall harvest activity"
APPLERECORDS,"Pie charts?"
